Official School Name,Latitude,Longitude,Enrollment
Sacred Heart Secondary School,53.711215,-6.342977,696
Drogheda Grammar School,53.718767,-6.303705,526
Colaiste Rís,54.007401,-6.400578,610
St Mary's College,54.009212,-6.39794,867
De La Salle College,54.016732,-6.42796,741
St Vincent's Secondary School,54.005433,-6.39204,905
St Louis Secondary School,54.01704,-6.426066,492
Dundalk Grammar School,53.997516,-6.410449,574
Scoil Pól,52.361494,-8.471411,723
Glenstal Abbey School,52.660976,-8.388463,204
Scoil Mhuire & Íde,52.446156,-9.06061,776
Salesian Secondary College,52.647198,-8.857338,709
Colaiste Mhichil,52.659193,-8.621261,340
Ardscoil Ris,52.665416,-8.641245,727
St Clements College,52.655869,-8.638258,406
St Munchin's College,52.681994,-8.614302,678
Coláiste Nano Nagle,52.660177,-8.622251,349
Laurel Hill Secondary School FCJ,52.654991,-8.639504,713
Laurel Hill Coláiste FCJ,52.655128,-8.638703,371
Ardscoil Mhuire,52.670029,-8.61452,606
Villiers Secondary School,52.661748,-8.657542,552
St Patrick's Classical School,53.65257,-6.697669,931
"St. Joseph's Secondary School, Navan,",53.650164,-6.689016,715
Loreto Secondary School,53.652813,-6.676581,871
Eureka Secondary School,53.730276,-6.886085,756
Franciscan College,53.63443,-6.235851,371
Scoil Mhuire,53.552499,-6.789663,822
Balla Secondary School,53.806858,-9.137724,453
St Muredachs College,54.115511,-9.144243,396
St. Mary's Secondary School,54.118816,-9.166398,527
Our Lady's Secondary School,54.213701,-9.983728,224
St. Geralds College,53.857365,-9.308135,626
St Joseph's Secondary School,53.8558,-9.291388,542
Coláiste Cholmáin,53.735443,-8.980462,370
Mount St Michael,53.732269,-9.001322,400
Jesus & Mary Secondary School,54.097478,-9.298888,627
St Joseph's Secondary School,53.981885,-9.11139,463
Sancta Maria College,53.764704,-9.805376,616
Scoil Muire Agus Padraig,53.9421,-8.952788,367
Coláiste Mhuire,53.665567,-9.35027,117
Rice College,53.801138,-9.512795,523
Sacred Heart School,53.801283,-9.516962,603
Patrician High School,53.982734,-6.715766,397
St Louis Secondary School,53.973821,-6.718125,429
Our Lady's Secondary School,54.11833,-6.742784,842
St. Macartan's College,54.263956,-6.955457,600
St. Louis Secondary School,54.245105,-6.973647,520
Monaghan Collegiate School,54.241394,-6.939419,255
Scoil na mBraithre,52.087151,-7.622851,366
St Augustines College,52.100464,-7.592662,1012
Ardscoil na nDéise,52.087464,-7.619181,263
"C.B.S. Mount Sion, Waterford",52.256072,-7.116872,467
Waterpark College,52.255916,-7.101635,570
De La Salle College,52.25379,-7.10259,1065
Presentation Secondary School,52.252467,-7.127179,431
Our Lady of Mercy Secondary School,52.260176,-7.125439,501
St Angela's Secondary School,52.246137,-7.113695,960
Newtown School,52.25152,-7.10081,409
C.B.S. Roscommon,53.626365,-8.19569,411
Scoil Muire gan Smal,53.627366,-8.197553,530
Scoil Mhuire,53.777698,-8.112443,655
St Marys College,54.210747,-8.511246,208
Coláiste Muire,54.093566,-8.51294,300
Jesus & Mary Secondary School,54.215422,-9.092455,317
Summerhill College,54.265602,-8.479481,1120
Ursuline College,54.275742,-8.487785,640
Mercy College,54.267336,-8.46691,663
Sligo Grammar School,54.273238,-8.462929,490
Presentation Secondary School,52.589442,-7.565395,379
St Josephs College,52.748968,-7.960071,352
Edmund Rice Secondary School,52.348315,-7.399246,311
Scoil Mhuire,52.350464,-7.40142,461
Rockwell College,52.458026,-7.892044,504
Ardscoil na mBráithre,52.356929,-7.698909,707
Loreto Secondary School,52.350323,-7.694128,481
Presentation Secondary School,52.348681,-7.717227,477
Patrician Presentation,52.468234,-7.698353,249
St. Joseph's CBS Nenagh,52.866509,-8.193014,663
St Mary's Secondary School,52.865012,-8.20165,520
St. Mary's Secondary School,52.709632,-8.411605,721
Cistercian College,52.96246,-7.854819,264
Our Ladys Secondary School,52.796244,-7.829267,589
C.B.S. Thurles,52.681193,-7.814373,545
Presentation Secondary School,52.681366,-7.807149,564
Ursuline Secondary School,52.679503,-7.809628,842
The Abbey School,52.471598,-8.160205,325
St. Anne's Secondary School,52.478625,-8.16242,292
St Mary's Secondary School,53.339682,-7.06,999
Colaiste Choilm,53.270982,-7.490692,680
Sacred Heart Secondary School,53.27665,-7.485788,566
Killina Presentation Secondary School,53.27089,-7.596414,656
St Nathy's College,53.903513,-8.580733,658
Coláiste Íosagáin,53.161459,-7.205456,1135
Mercy Secondary School Mounthawk,52.283332,-9.723341,1337
John Scottus Secondary School,53.217592,-6.137932,193
Gael-Choláiste Chill Dara,53.215722,-6.669372,389
St. Jarlaths College,53.515808,-8.846012,625
Meanscoil Nua an Leith Triuigh,52.255019,-10.017977,159
Árdscoil na Trionóide,52.996178,-6.983566,852
Gaelcholáiste Phort Láirge,52.223613,-7.064753,169
Meanscoil Gharman,52.473333,-6.557991,245
Temple Carrig Secondary School,53.153389,-6.084677,953
Coláiste Ghlór na Mara,53.607324,-6.207907,471
Le Cheile Secondary School,53.389535,-6.37273,918
Hansfield ETSS,53.390639,-6.445627,852
Scoil na Tríonóide Naofa,52.600483,-8.242718,568
Ardscoil na Mara,52.161757,-7.159851,1227
Gaelcholáiste an Phiarsaigh,53.292355,-6.279867,298
New Cross College,53.392114,-6.322811,299
Stepaside Educate Together Secondary School,53.261015,-6.19486,595
North Wicklow Educate Together Secondary School,53.208377,-6.112382,333
Bremore Educate Together Secondary School,53.604976,-6.20367,797
Cork Educate Together Secondary School,51.904248,-8.460665,401
Edmund Rice College,51.808262,-8.382072,574
Sandymount Park Educate Together Secondary School,53.333008,-6.212662,394
Edmund Rice College,53.376148,-6.34976,678
Firhouse Educate Together Secondary School,53.267674,-6.334877,328
Malahide & Portmarnock Secondary School,53.448169,-6.196747,488
Limerick City East Secondary School,52.653202,-8.576165,612
Coláiste Chiaráin,53.409291,-7.987228,858
Wicklow Educate Together Secondary School,52.982571,-6.048837,303
Belmayne Educate Together Secondary School,53.402287,-6.167946,417
Galway City & Oranmore Educate Together Secondary School,53.274795,-9.054039,281
Laytown & Drogheda Educate Together Secondary School,53.708837,-6.297774,388
Harolds Cross Educate Together Secondary School,53.323647,-6.277665,276
Goatstown Educate Together Secondary School,53.293664,-6.251396,221
Le Cheile Secondary School Ballincollig,51.890167,-8.602894,117
Gorey Educate Together Secondary School,52.682304,-6.301055,189
Blackrock Educate Together Secondary School,53.326001,-6.227136,148
Coláiste Muire Máthair,53.271062,-9.067111,745
Coláiste Abhainn Rí,52.547748,-7.388513,655
St. Seton's Secondary School,53.344801,-6.354694,761
High Cross College,53.517751,-8.850187,860
Balbriggan Community College,53.611254,-6.188233,682
Grange Community College,53.40048,-6.157059,486
Coláiste de hÍde,53.301247,-6.349295,281
Deansrath Community College,53.324144,-6.42043,383
Collinstown Park Community College,53.341288,-6.396128,593
St. Kevin's Community College,53.352914,-6.405442,434
Lucan Community College,53.34767,-6.449756,929
Rath Dara Community College,53.401924,-6.379346,297
Coláiste Chilliain,53.323818,-6.402559,433
St Finians Community College,53.465233,-6.224601,658
Fingal Community College,53.460697,-6.216778,861
Greenhills College,53.307199,-6.335139,155
Firhouse Community College,53.276203,-6.348676,810
Mount Seskin Community College,53.278795,-6.410178,339
Cabra Community College,53.368768,-6.294265,240
Clogher Road Community College,53.327314,-6.294598,246
Coláiste Eoin,53.388041,-6.309375,285
Ringsend College,53.343798,-6.224043,207
Kylemore College,53.345117,-6.351674,441
Marino College,53.36441,-6.231585,265
St Mac Dara's Community College,53.2973,-6.327576,841
Ellenfield Community College,53.384002,-6.240501,112
Coolock Community College,53.396803,-6.213119,174
St Bricin's College,54.099415,-7.443474,230
St. Mogue's College,54.122298,-7.677955,288
Breifne College,54.009567,-7.346224,895
Virginia College,53.831211,-7.084245,795
Borris Vocational School,52.5972,-6.917788,539
Coláiste Eoin,52.861469,-6.553467,350
Tyndall College,52.818676,-6.943685,999
Coláiste Aindriú,52.702143,-6.950729,151
Gaelcholáiste Cheatharlach,52.836841,-6.910891,350
Killarney Community College,52.062372,-9.519188,464
