School Name,Latitude,Longitude,Enrollment
SLIEVEARDAGH N S,52.625012,-7.544228,22
Shandrum National School,52.34536,-8.76776,150
CAVAN 1 N S,53.9902,-7.36284,65
ST PATRICKS N SCHOOL,53.370204,-6.258293,444
DROMAILI S N,54.002994,-7.383981,225
CITY QUAY NS,53.346615,-6.251301,170
ST ANDREWS N S,53.448909,-6.152964,215
ROSEGREEN N S,52.467963,-7.831391,145
WHITECHURCH NAT SCHOOL,53.271935,-6.282276,201
NUNS CROSS N S,53.017812,-6.126063,198
S N NAOMH BRID,53.603797,-10.008798,29
BANSHA N S,52.697585,-9.589918,14
BEHEYMORE N S,54.116467,-9.096013,224
CASTLEGREGORY MXD N S,52.258754,-10.01645,145
DOONBEG N S,52.731432,-9.528819,64
S N CNOCH A DEAGA,52.328778,-8.342559,35
CLOONDAFF N S,53.939507,-9.440744,20
S N NEILL MOR,54.638518,-8.440521,224
Clochar na Toirbhirte,52.347875,-7.411667,293
RATHMICHAEL N S,53.236147,-6.127705,207
ST DAVIDS NS,53.194821,-6.673505,94
SCOIL MHUIRE,53.328243,-6.212181,269
S N IOSEPH,51.633412,-9.205339,9
BALLINLOUGH N S,53.74125,-8.63558,33
COOLCAPPA N S,52.525965,-9.018271,56
CARRICKBEG N S,52.331618,-7.403924,108
SCOIL CHÓCA NAOFA,53.402216,-6.667953,446
SCOIL MHUIRE NS,53.718953,-7.172235,86
CONVENT OF MERCY,52.3288,-6.477127,405
BODYKE N S,52.882772,-8.596874,32
WHITEGATE MIXED N S,51.823434,-8.235534,95
S N RONAIN,53.412708,-8.097074,41
OUR LADY OF GOOD COUNSEL GNS,52.265103,-7.101889,198
ST LUKES N S DOUGLAS,51.873839,-8.436382,210
ST ANDREWS N S,53.36076,-6.435187,363
LISCARROL N S,52.258985,-8.8063,175
ST JOHN THE BAPTIST N S,51.916063,-8.168825,200
OUR LADY OF MERCY NS,53.724882,-6.869345,322
SCOIL NAOMH FIACHRA,54.995793,-7.731776,507
S N NAOMH ANTOINE,53.510015,-10.092643,20
BILLIS N S,53.886851,-7.145364,75
S N NAOMH PADRAIG,53.559247,-9.442264,15
REAR N S,52.687081,-8.237452,70
SCOIL BHRÍDE,53.669123,-7.619171,41
SN Ceathru na Laithigh,53.566131,-8.792375,63
S N AN AIRD,51.571147,-8.910488,111
TEMPLEBRADY N S,51.800198,-8.297439,67
CORBALLA N S,54.164768,-9.076437,115
MEELICKMORE N S,53.703347,-8.946158,90
PRESENTATION PRIMARY SCHOOL,52.348372,-7.718083,287
St. John's National School,53.140572,-7.063063,45
S N NAOMH ANTAINE,51.888187,-8.447902,621
S N NAOMH PADRAIG,54.043371,-9.179671,139
RUSHALL N S,52.955259,-7.554513,36
S N OIR CHEANN,51.672705,-9.999752,21
GOGGINSHILL N S,51.823463,-8.578452,237
WALTERSTOWN N S,51.86684,-8.23625,198
CANOVEE MIXED N S,51.889292,-8.856188,147
ST CRONANS MIXED N S,53.172714,-8.019555,62
DARLEY N S,54.076108,-7.086515,126
S N INIS MEADHOIN,53.086835,-9.588814,21
SHINRONE MIXED N S,52.985072,-7.9232,113
SN Mhuire na nAingeal,52.354105,-7.704369,384
SN na hAille,53.57326,-9.224426,143
CLOGHER MXD N S,52.25969,-9.569343,37
SWORDS BOROUGH N S,53.457452,-6.22313,102
S N NAOMH PADRAIG,52.416567,-9.300713,45
ST BRENDANS MONASTERY,53.090589,-7.912385,175
S N EACHLEIME,54.117948,-10.103645,53
CURRIGLASS NS,52.094372,-8.049043,52
UNION HALL MIXED N S,51.553393,-9.144109,76
RUSHEEN NS,51.937463,-8.904,75
DONAGHMORE N S,52.99012,-6.626883,23
SN Gleann na hUladh,52.253798,-8.364548,91
BALTYDANIEL N S,52.186364,-8.670463,207
GARDINER STREET CONVENT,53.358099,-6.258888,403
TIMOLEAGUE N S,51.642425,-8.764138,167
CRAGGAGH N S,53.817914,-9.077601,23
GREENMOUNT MONASTERY NS,51.891243,-8.480309,224
SLIEVERUE MIXED N S,52.283311,-7.066494,213
GILSON NATIONAL SCHOOL,53.76911,-7.158104,247
S N EANNA,53.392755,-9.916983,22
KILBARRY N S,51.862199,-9.060569,40
ST SAVIOURS N S,52.930459,-6.228792,127
S N URSULA NAOFA,52.247248,-7.11324,640
CARN N S,53.994531,-8.516162,128
CLONMORE N S,52.829916,-7.765779,93
St Patrick's National School,53.148857,-6.069243,394
SN INBHEAR,54.251198,-9.864947,68
S N ROS DUMHACH,54.284277,-9.794483,22
LURGA N S,53.012383,-8.867123,93
COOLARD MXD N S,52.486359,-9.518588,93
ARDAGH BOYS SENIOR NATIONAL SCHOOL,51.580306,-9.029588,53
CRUMLIN N S,53.396828,-8.789544,105
GLENBROHANE N S,52.387092,-8.387752,28
PALLASKENRY N S,52.639598,-8.867742,140
COOLMEEN N S,52.659946,-9.212848,16
